sample_id,read_id,read_length,gc_content_pct,mean_quality
SAMPLE1_SE,ccd3b527-ffe8-49d5-b305-8899d5d3f2ba,206,54.8544,20.6262
SAMPLE1_SE,f4713e2e-9e5b-4652-9d95-1ba4a4165c85,246,49.5935,24.8537
SAMPLE1_SE,64647cc7-d75e-4d3e-804c-ae8327322df1,270,43.3333,15.2778
SAMPLE1_SE,db702b38-a1a5-462c-a9b3-92c458cab85c,260,64.2308,22.6885
SAMPLE1_SE,d742e401-b6b6-42b8-92a2-150fc151ea0a,210,46.6667,11.2048
SAMPLE1_SE,ad2d593c-1bd6-4ce8-b285-829207679aad,235,45.1064,18.5532
SAMPLE1_SE,084ecd32-c99d-46c0-b771-3c67eaac38ac,227,46.696,25.2996
SAMPLE1_SE,7efe22a8-3eee-48f6-8e95-008030373fca,192,46.875,32.0469
SAMPLE1_SE,54dfc448-11b8-422a-93e3-b68828c02978,861,50.5226,17.8827
SAMPLE1_SE,cede8d74-cd23-4cf5-a237-4b6dbd941d41,1190,40.3361,26.2874
SAMPLE1_SE,2b3f8918-2b44-4d25-aa2a-ce78845df6e8,701,54.2083,30.7133
SAMPLE1_SE,a04b2ae7-f7e9-4c0f-b62c-893d22ecba26,242,54.9587,8.2149
SAMPLE1_SE,097f6023-0ac3-4e8f-bfdc-520b1731a6dd,445,60.2247,7.0899
SAMPLE1_SE,2ecc81d1-bafd-4f16-b643-236c764f1eab,638,52.8213,28.7116
SAMPLE1_SE,72e1a1bd-cf3b-4de7-bc37-09a25860f96f,301,51.8272,24.9402
SAMPLE1_SE,a8563878-6918-4fb0-ac67-b62121cbc5d4,742,53.2345,5.7251
SAMPLE1_SE,eaf2adca-f274-4db4-bb7f-87acae9ad3f0,2880,53.8194,28.2222
SAMPLE1_SE,a3fcc61b-c583-421a-9ce2-5f4b73aef763,943,63.4146,31.0732
SAMPLE1_SE,7a7bb747-1e98-4828-ab0a-2fec4c5a925d,487,41.8891,28.9466
